,0,1,2,3,4,5,6,7,8,9,cluster
No. 1_L_1.5 _200 _02-18-2025/0057.png,15.112727638787987,2.3558283237332525,-4.988660934964097,-2.842290277773597,-1.5366063817677018,0.5419063390273422,-4.536605666855165,0.9536618516178316,-1.1931789900428538,-1.615722264800253,10
No. 1_L_1.5 _200 _02-18-2025/0058.png,15.151126040487796,2.309625971039715,-4.845157756404946,-2.813076377330013,-1.377914864808794,0.592962713343212,-4.422342330338406,0.8113406002886601,-1.1960830322859046,-1.6554577064433942,10
No. 1_L_1.5 _200 _02-18-2025/0059.png,15.164874491937848,2.37180213518643,-4.9926305051701485,-2.6623974884735966,-1.436182307735903,0.496809309326812,-4.566551752987717,0.9517807880180262,-1.2983344731698991,-1.568637077496338,10
No. 1_L_1.5 _200 _02-18-2025/0060.png,15.093747640299924,2.3259937044449863,-5.066062055838707,-2.789149496263444,-1.1450070363648557,0.6203439678265221,-4.438518673431778,0.794313419329014,-1.165803304187081,-1.602679024837064,10
No. 1_L_1.5 _200 _02-18-2025/0061.png,15.17487969692057,2.3303177681774176,-4.879202712453574,-2.700707778813685,-1.4723554985521394,0.5343478590097579,-4.4147770884132775,1.008518966265748,-1.2875520507345497,-1.5746151754636917,10
No. 1_L_1.5 _200 _02-18-2025/0062.png,15.157510121162307,2.340378581042293,-4.896125513396014,-2.725571990921132,-1.5383685624135677,0.6363699955711501,-4.456495469559204,0.979532678612423,-1.228345362806836,-1.5455245330580134,10
No. 1_L_1.5 _200 _02-18-2025/0063.png,15.122473684229536,2.3356272734123475,-4.971882549940215,-2.6634168531011317,-1.214715255365797,0.4508869103364867,-4.3231398557302985,0.96775262435104,-1.1598890575091938,-1.6698108084622214,10
No. 1_L_1.5 _200 _02-18-2025/0064.png,15.17609274094945,2.361369987282254,-5.013201285564461,-2.6032456623899787,-1.3694201852453318,0.3890873808373545,-4.679175076240833,1.0427724341780662,-1.3775974811223748,-1.4204962588774643,10
No. 1_L_1.5 _200 _02-18-2025/0065.png,15.114053018006114,2.3512234146815825,-4.989586957851784,-2.675678417835891,-1.4180952695324898,0.5456589834992789,-4.381506683223652,0.8704784577308109,-1.291068562825383,-1.7269936690719143,10
No. 1_L_1.5 _200 _02-18-2025/0066.png,15.148003807789689,2.3702385920771114,-4.947357259798348,-2.6212218328352423,-1.4070585535442175,0.5259958683726529,-4.446794664826067,0.9699447274394126,-1.237721708479065,-1.5414425462580337,10
No. 1_L_1.5 _200 _02-18-2025/0067.png,15.120011733730944,2.336579055940504,-4.85379580862374,-2.6251690628282955,-1.4008065769136993,0.5906389018402862,-4.453887967596735,0.8951315762236485,-1.2179640712911195,-1.6438325569052863,10
