,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
frame_0001.png,-5.745365043494505,1.2629468430144044,-0.3147922771137255,-0.6146405803034951,-1.8009532520820803,-0.31307160041660165,1.033783338173401,0.4042816338569333,1.7421936211025786,-0.5774929004812633,0.28623240165979347,0.12924604152093666,0.5648973157231669,0.1446478856503295,0.5767169487911832,-0.4793119940892171,-0.4308909080791852,0.24810282176422713,-0.41673485685020584,-0.060497937305643124,0.20526071372080334,1.0156352815834104,-0.4575612850401849,1.128590828908158,1.165021451933951,0.04602070435012484,0.8821798823258642,0.33378270101026386,-1.027649445285542,0.33126616683968946,0.11209719692475284,-0.19849821155885294,-0.410659431606188,0.34350694985817976,0.11526866899686716
frame_0002.png,-3.9485336397461483,-0.013400899038567005,-1.2429576175592327,0.10546050663220408,-3.2561319846096577,-0.407765962039357,1.4941872310763653,0.632146592180826,0.8254161509836306,0.2721014009088236,0.9799112385493496,-0.42428192616663685,0.5771841669456557,0.3272302234504001,-0.040133420417757026,-0.5626975928658482,0.454785123542611,1.1005981047373303,0.03964035524227505,0.6879569818466611,0.5946428413046854,1.0883171373588372,0.5226578431916726,0.7569432353209935,1.0742384997292997,0.6962027030419498,1.1179443083884641,0.10985420463726303,-0.5576352267863918,0.42514803745059343,-0.3286860001025249,-0.6455900746333425,-1.559131799695848,0.24418572063288013,0.3238266381316296
frame_0003.png,-5.728356560597431,0.18002772552683766,-0.8704912194723269,0.16488100909616987,-2.107947720508708,-0.8111458673080314,1.306700963356687,-0.6459816089118549,1.3101151326469374,-1.2081424048822957,-0.1346299705698546,0.21424111074527463,0.26980185897173514,0.47613081963337756,0.03686649668834452,-0.6821124191615463,-0.40401720866173463,-0.5535940025690489,-0.5266161898297756,-0.29449131505009296,0.26508409825082957,0.23500097952583499,-0.23406944088200232,0.7341229187293443,0.633719595611671,0.15660710038347592,-0.0002581245470798521,0.35778670951214897,-0.2642484992440677,-0.16485395316116586,-0.053314597248784956,0.26889679769594643,-0.050262849934418874,0.1818619915535895,0.3371120675161775
frame_0004.png,-5.7151532135256335,0.3944605870196565,-0.6353149488832068,-0.014978552652483934,-2.384552810802682,-0.9202420087950154,1.3876658346743334,-0.7255788254785831,1.0418303813968763,-1.2403060946578492,0.10027749768241279,0.029522419416518897,-0.015272058096974905,0.2509270737529645,0.3198174710446011,-0.7052724564506329,-0.2707699352136195,-0.515328543346848,-0.46103752790672203,-0.1626496935458046,-0.142382323664497,-0.2172267539267443,-0.24537837731419554,0.2641627503825319,0.5510655557497257,-0.11770782879600372,-0.21086522511984152,0.13242054900272215,-0.24115125890712807,0.04536193056587079,-0.0683165153709262,-0.0037286856522023015,0.10756727722274206,0.22156755155329688,0.29773439272316427
frame_0005.png,-5.833796865346448,0.5478959601748201,-0.589395372733045,0.17555373476565705,-2.0939715053325827,-0.8221290497348992,1.3630751824273561,-0.685176810107136,1.191908373074281,-1.3538414681061917,0.003917783038893674,0.2508488035429828,0.09104091636883183,0.1588809065268708,0.2900777720987424,-0.44120749251390656,-0.48001648599925173,-0.7557517923239123,-0.46013607395080225,-0.04715719163898635,-0.022712323701470805,-0.5063900277342182,-0.11385354543571058,0.237921609300904,0.461709412929944,-0.044217327934124806,-0.11959740287693155,0.1526937520426701,-0.39059466067246973,0.11184852617316005,-2.101085658035018e-05,0.017114388743617148,0.37648144608985534,0.3201210377694754,0.11873867299630714
frame_0006.png,-5.740025581782062,0.5313578544205413,-0.6084726248053896,0.08537714444937361,-2.2833889937160476,-0.9316673544213883,1.3766027620311414,-0.6834339934317468,0.9545363450433219,-1.1147123720788767,0.08783946389719599,0.27361713609793936,-0.015937903365645878,0.22287357707840583,0.3894156227314758,-0.3958119732182065,-0.35843207427156365,-0.5850782629205615,-0.3118877903366899,-0.025886863184074294,-0.21443545232191674,-0.46468453386711595,-0.03629603318252528,0.44975216965206055,0.5941018180722804,-0.1569378372037602,-0.0880775863983283,-0.02424376152606733,-0.4471611043059287,0.17376155072336552,0.08826873512689692,-0.1240444320023979,0.23377839895001173,0.386245164153987,0.19216000312863724
frame_0007.png,-5.875952649237471,0.07627952176724584,-0.6351431515484203,-0.06139168934335704,-2.102458728970702,-0.9140556590239806,1.3533454791105113,-0.9341023464705496,1.0903912464710286,-1.1594243134146458,0.12163535809768167,0.37698639438507353,0.03750125293318063,0.08725659332849167,0.3617035522847529,-0.41293131503101893,-0.42343529342973274,-0.6201879362956852,-0.3478706503107354,-0.008214826813273568,-0.2955910306421097,-0.37041237877720246,0.043588892815892955,0.2111393282919405,0.5252158534293163,-0.18260864725050918,-0.16675577698766153,-0.14245172200716727,-0.2738318768213661,0.19912915088994781,0.06847149192211521,-0.10557271100391397,0.2544431103127658,0.2906347981943538,0.1169330001623139
frame_0008.png,-5.824384788923146,0.3325608400790898,-0.5955479618740336,-0.1286967270177728,-2.223585284368024,-0.9736825406940666,1.3606003901216734,-0.8048028700293093,0.9750834551563389,-1.023183989976626,0.10571716767583883,0.2613647018112215,0.06384035333844273,0.14124249547147594,0.30212509630472306,-0.4058730634416883,-0.34065892533200803,-0.47241154199629454,-0.2894083891182344,0.01697413242213619,-0.35855332342535196,-0.5217210499462848,0.03826808800438242,0.19145967592044855,0.5485021169068025,-0.12629712412024774,-0.26057225477203305,-0.09773341667612367,-0.2898966037214752,0.14655658649309067,0.12446107566276421,-0.07152626846954213,0.16761900177614475,0.3143434315947353,0.07752154810987721
frame_0009.png,-5.940256378628215,0.24433041985630943,-0.536262659068206,-0.14026817490539267,-2.3020196651059592,-0.7492612382552504,1.3513675570511907,-0.8836736393214168,1.0176352623843785,-1.0333206565160618,0.10951581325532977,0.10167574393079537,0.056344503212211516,0.23069929408088674,0.3620203241241686,-0.3556319042507754,-0.21635722454587758,-0.3731230485896305,-0.3770481153039409,-0.03407176938275258,-0.2979969384835126,-0.226084634411297,-0.03727897121902579,0.2702653219680631,0.3203167768527119,-0.2038644417933385,-0.09225052800126576,-0.08812817966772624,-0.26234814899854797,0.08961985169679504,0.09768101297065179,0.0568069253786323,0.16621126143690734,0.25520689998143986,0.08586261933972117
frame_0010.png,-5.794536344983699,0.236925200558197,-0.637930176565086,-0.2055505575301928,-2.5367927292213253,-0.8915907666768677,1.3579054152822385,-0.8115663227156207,1.1193323746402974,-1.0844239323294496,0.15216187125778546,0.08586704296629044,0.17020670316478143,0.2427596838854429,0.2984477244348769,-0.47629118965522704,-0.28378930226751997,-0.29280194739106924,-0.25620893900087616,-0.08357832740777527,-0.35761878985853635,-0.2006169277432832,0.04044354280607276,0.3089214895621435,0.4119312539296733,-0.10790623927784981,-0.1970364664926989,-0.05733079090567994,-0.4215521120146306,0.22406455672648934,0.10302484924829969,-0.00012853691583014637,0.03299901086800361,0.2385661787595046,0.10221949152122978
