,0,1,2,3,4,5,6,7,8,9
No. 1_L_1.5 _200 _02-18-2025/0012.png,-3.011919336590423,3.601219833467163,-1.312585641308722,-2.9564792731300242,-1.7490016888953215,4.146259923727291,1.936270496891059,1.4462369072997987,-1.1121369859519297,-1.0180270980028272
No. 1_L_1.5 _200 _02-18-2025/0013.png,-3.068700086924413,3.5287034840407276,-1.036140042199662,-2.954824959572951,-1.7857636870784463,4.265588208057947,1.8859212923169788,1.3844130472504261,-1.0657425354677803,-0.9917290438215458
No. 1_L_1.5 _200 _02-18-2025/0014.png,-3.2477976327597595,3.5670122210834396,-1.185728848075108,-2.9715137233425972,-1.5574785239682494,4.202369893239132,1.9324634698700762,1.3947821311630655,-1.1508307492823182,-0.9985400281676236
No. 1_L_1.5 _200 _02-18-2025/0015.png,-3.0177622354659723,3.5689136451598333,-1.0647079415099512,-3.004263815987044,-1.5960576897888799,4.278551356094583,1.9691201876791022,1.5233853744264483,-1.081013456967727,-1.1423375035780157
No. 1_L_1.5 _200 _02-18-2025/0016.png,-3.152117228570745,3.528221499162294,-1.1616802844443619,-2.900298962253413,-1.6724808589781328,4.2759842263640895,2.092080950140808,1.5056977753514307,-1.0490190226987945,-1.06908762522171
No. 1_L_1.5 _200 _02-18-2025/0017.png,-3.2834516301193872,3.5309908179294984,-1.1360463898805246,-2.85173334857876,-1.5366309335167645,4.143953992300762,2.058500463121814,1.5336138187048505,-1.0505299164311903,-1.2077197087236824
No. 1_L_1.5 _200 _02-18-2025/0018.png,-3.0566076018478867,3.6197182438815263,-1.3370415772116448,-3.091410372232093,-1.6620569668348986,4.338571435501482,1.9984590384413017,1.4638617148116726,-1.099715481869988,-1.045594268837501
No. 1_L_1.5 _200 _02-18-2025/0019.png,-3.0835237589230964,3.681393462022327,-1.1497610475681732,-2.9341089168208443,-1.5649133521590382,4.355297977268123,2.0233760527158013,1.5903754145524722,-1.138882618400687,-1.1245755009295038
No. 1_L_1.5 _200 _02-18-2025/0020.png,-3.192527019390142,3.771509435684133,-1.1617516778087786,-2.9482262559124486,-1.5954492858268146,4.349655960346594,1.9267626681566656,1.4727555387208717,-1.0911494949981286,-1.1000720641087813
No. 1_L_1.5 _200 _02-18-2025/0021.png,-3.0903456606470074,3.6886940659623164,-1.2798989600341457,-2.937799806608348,-1.7540916978866394,4.443391753979112,1.9753942999682763,1.4881756061405813,-1.195229266248907,-1.025532602421002
