,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,cluster
frame_0001.png,-5.745365043494542,1.262946843014234,-0.3147922771137077,-0.6146405803034836,-1.8009532520825076,-0.3130716004160225,1.0337833381801174,0.4042816338399089,1.742193620359744,-0.5774929024840212,0.286232402753372,0.1292460691962125,0.5648973418921829,0.1446475485996705,0.5767179444180468,-0.4793134556107456,-0.4308942316591999,0.2481279006176936,-0.4167221774970953,-0.0605551627940594,0.2052302340639133,1.0155378440885787,-0.4575231547257719,1.128476173523662,1.1651974096933928,0.0456679276360649,0.8815654305442147,0.3318813974293397,-1.02612275998934,0.3309141008385821,0.1091106537936967,-0.1943775127852944,-0.4232308005375698,0.358598455438972,0.1077497100879091,0
frame_0002.png,-3.948533639746151,-0.0134008990386682,-1.2429576175592212,0.10546050663224,-3.2561319846085865,-0.4077659620389147,1.4941872310680226,0.6321465921877354,0.825416151418455,0.2721014014215297,0.9799112377647744,-0.4242819259492969,0.5771841412599376,0.3272303611643066,-0.0401353779539301,-0.562697987919659,0.4547927506406046,1.1006070947925304,0.0396491269188148,0.6879768167797642,0.5946315157074671,1.0883391557730784,0.5227793403616334,0.7565092631794474,1.074460698728219,0.6965320821609724,1.1167591030940027,0.1096589260489979,-0.556182567127899,0.4280288480780684,-0.3276353647482692,-0.6322411093958609,-1.538835225321025,0.2433618815744063,0.3220706441382681,0
frame_0003.png,-5.728356560597437,0.1800277255266795,-0.8704912194723127,0.1648810090961832,-2.1079477205086983,-0.8111458673072591,1.306700963351469,-0.6459816090003634,1.310115133002692,-1.2081424064303543,-0.1346299717451127,0.2142410904732443,0.2698018502817176,0.4761303650580251,0.0368681059723776,-0.6821113761124041,-0.4040170870287318,-0.5535909573576886,-0.5266180560863907,-0.2945306495305795,0.2650690249744003,0.2349684939930476,-0.2340431695614617,0.7342942854180681,0.6336509754444897,0.1558481263509266,0.0004615849452678,0.3563757244874885,-0.2636894716179254,-0.1651835725367647,-0.0565040400333494,0.2769069279466407,-0.0642275936935039,0.1574372549434566,0.3727584268020825,0
frame_0004.png,-5.715153213525644,0.3944605870195001,-0.6353149488831917,-0.0149785526524728,-2.384552810802684,-0.9202420087939194,1.3876658346699973,-0.7255788255205031,1.0418303816845222,-1.2403060955168326,0.10027749684102,0.0295224054097902,-0.0152720683518318,0.2509269264505276,0.3198183710185489,-0.7052715083835359,-0.2707689233570101,-0.5153259530341288,-0.4610388637234228,-0.1626717015662031,-0.1423809467820063,-0.2172133735562962,-0.2453286314009521,0.2642165854382625,0.5510646714410024,-0.11814797879438,-0.2106004706498372,0.1322329791901939,-0.2402264239117073,0.0456096706644573,-0.0699144697901203,0.003368966218292,0.1023416395128657,0.2124681218999515,0.3192890014390597,0
frame_0005.png,-5.833796865346464,0.5478959601746585,-0.5893953727330254,0.1755537347656695,-2.0939715053326102,-0.8221290497341407,1.3630751824249456,-0.6851768101433993,1.1919083732464628,-1.353841469015876,0.0039177825704816,0.2508487963018639,0.0910409115097712,0.1588807792108388,0.2900784731007735,-0.4412070773470883,-0.480016036199071,-0.7557482741912397,-0.4601353082916359,-0.047174144337077,-0.0227191054013427,-0.506394163294221,-0.1138325267726689,0.2379172175715602,0.4617135822669778,-0.0446151457186925,-0.1195945145135799,0.1521084303768285,-0.3901282862173438,0.1121069724776633,-0.0020256134993115,0.0242068531641894,0.370467127493121,0.3164224930271164,0.12531057686731,0
frame_0006.png,-5.740025581782076,0.5313578544203796,-0.60847262480537,0.0853771444493838,-2.283388993716051,-0.931667354420743,1.3766027620291732,-0.6834339934693721,0.954536345127025,-1.1147123732767896,0.0878394635599493,0.2736171313053832,-0.0159379060371815,0.222873362677177,0.3894163474360996,-0.3958117583241627,-0.3584328836823576,-0.5850703155297027,-0.3118836826561804,-0.0259103954695052,-0.2144517243799146,-0.4647121316146885,-0.0362796858373966,0.4497622063056257,0.5941342997602517,-0.157326997522646,-0.0879718483353282,-0.0250735070632943,-0.4467200755066081,0.1742164311778405,0.0859546471382262,-0.1176828451625748,0.2266735736284193,0.3888850211183039,0.1936320469995431,0
frame_0007.png,-5.875952649237475,0.0762795217670877,-0.635143151548414,-0.0613916893433428,-2.102458728970648,-0.9140556590233752,1.3533454791082518,-0.9341023465073576,1.0903912466057115,-1.159424314457692,0.1216353576033055,0.3769863884397963,0.0375012463338055,0.0872564467510215,0.3617040998792089,-0.4129310860792616,-0.423434874922781,-0.6201817086053664,-0.3478685040041505,-0.0082302753733833,-0.2956017802917743,-0.3704320192182848,0.0435982496577938,0.2111106721918894,0.5252318593050871,-0.1829858618314267,-0.1668169241842525,-0.1432487714107617,-0.2736433115028713,0.1998414037142022,0.0663514190476264,-0.0976353109606318,0.249795603311989,0.2886168441596375,0.1210330724406231,0
frame_0008.png,-5.824384788923155,0.3325608400789299,-0.5955479618740256,-0.1286967270177608,-2.223585284368028,-0.9736825406933848,1.3606003901192345,-0.8048028700474146,0.9750834553003752,-1.0231839906653537,0.1057171672661931,0.2613646986883426,0.0638403474780134,0.1412424231455276,0.302125512023967,-0.4058727911159004,-0.3406585450290611,-0.4724059968398847,-0.289405545690788,0.0169590292938859,-0.3585590668187111,-0.5217204814448051,0.0383081844597175,0.1914177247687893,0.5485475889423255,-0.1265328886802357,-0.2606469121648458,-0.0980538319253803,-0.2890854268869347,0.1469953001716444,0.122820762109848,-0.0660881754327098,0.163722111588453,0.3147779368499868,0.0832680920028259,0
frame_0009.png,-5.940256378628223,0.2443304198561442,-0.5362626590681971,-0.1402681749053842,-2.30201966510602,-0.7492612382546331,1.3513675570490171,-0.8836736393635904,1.0176352626487946,-1.0333206575781175,0.1095158127339352,0.1016757323627586,0.0563444971990792,0.2306990971184408,0.3620212301048928,-0.3556312004603034,-0.2163573383604489,-0.3731190300733583,-0.3770469291716498,-0.0340934673449813,-0.2980008883697538,-0.226096561835825,-0.0372679639875159,0.2703510267533957,0.3203137503319096,-0.2041805571103208,-0.0917841115322279,-0.0889247675629416,-0.2621763171017486,0.0897550835251458,0.0957716232240524,0.0614447784477478,0.1584942828124944,0.2468284044607718,0.0955681161016792,0
frame_0010.png,-5.794536344983709,0.2369252005580371,-0.6379301765650771,-0.2055505575301821,-2.536792729221423,-0.8915907666760639,1.3579054152797392,-0.8115663227396146,1.1193323748355224,-1.0844239330595262,0.1521618707122334,0.0858670344491145,0.1702066960719932,0.2427595981201471,0.2984484635221394,-0.4762905333196154,-0.283789217880561,-0.2927986382762049,-0.2562092557318802,-0.0835955567703927,-0.3576157884703912,-0.2006098330651156,0.0404694913253527,0.3089598750678277,0.4119515234925093,-0.1081992694237374,-0.1967615713346702,-0.0575653137136908,-0.4210167234510349,0.2242061909231598,0.1017473663868702,0.0041095877121311,0.027120557233208,0.2311419121998614,0.1134124582736287,0
